case_id,message_id,user_id_original,pais_usuario,country_iso,direction,text_original,language_detected,sentiment_score,sentiment_label,primary_emotion,topics,max_severity,regulatory_flags,escalation_needed_llm,priority_llm,priority_math,priority_final,priority_policy,severe_risk_signals,resolved_override,score_base,score_final,confidence,model_used,tokens_in,tokens_out,latency_ms,cost_usd,analyzed_at,analysis_status
CASE-033,MSG-116,USR-801,México,MX,INBOUND,"""Ya actualicé la app y sigue sin aparecer. Les mando video.""",es,-0.8,very_negative,frustration,"account_management, app_stability",0.8,consumer_protection,True,p3,,p3,,,,0.74,1.0,0.95,gemini-2.5-flash-lite,3274,283,12480,0.0004406,2026-05-01 14:16:23,ok
CASE-034,MSG-117,USR-412,Chile,CL,INBOUND,"""Solicito un estado de cuenta de los últimos 6 meses para mi banco.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-034,MSG-118,AGENT-04,Chile,CL,OUTBOUND,"""Puedes generarlo en la sección Perfil > Documentos > Cartas.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-034,MSG-119,USR-412,Chile,CL,INBOUND,"""Solo me deja sacar el del último mes. Me urgen los otros 5.""",es,-0.5,negative,frustration,account_management,0.4,,True,p3,,p3,,,,0.21,0.315,0.95,gemini-2.5-flash-lite,3252,206,7062,0.0004076,2026-05-01 14:16:08,ok
CASE-035,MSG-120,USR-908,Perú,PE,INBOUND,"""Mi tarjeta física llegó con el nombre mal escrito. Falta una letra.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-035,MSG-121,AGENT-01,Perú,PE,OUTBOUND,"""Lamentamos el error. Envíanos foto de tu ID para corregirlo.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-035,MSG-122,USR-908,Perú,PE,INBOUND,"""Aquí está. ¿Tengo que pagar por la reposición de la tarjeta?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-035,MSG-123,USR-908,Perú,PE,INBOUND,"""Espero que no, porque el error fue de su sistema de impresión.""",es,-0.7,negative,frustration,cards,0.5,consumer_protection,True,p3,,p3,,,,0.565,0.8475,0.95,gemini-2.5-flash-lite,3270,271,10654,0.0004354,2026-05-01 14:16:29,ok
CASE-036,MSG-124,USR-130,USA,US,INBOUND,"""I can't link my Global66 card to Apple Pay. It says 'Contact Issuer'.""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-036,MSG-125,AGENT-03,USA,US,OUTBOUND,"""Make sure your region in iPhone settings is set to USA or Chile.""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-036,MSG-126,USR-130,USA,US,INBOUND,"""Region is correct. Still getting the same error message.""",en,-0.5,negative,frustration,cards,0.7,,True,p3,,p3,,,,0.2925,0.4387,0.95,gemini-2.5-flash-lite,3249,206,12108,0.0004073,2026-05-01 14:16:35,ok
CASE-037,MSG-127,USR-662,Colombia,CO,INBOUND,"""Me bloquearon por actividad sospechosa pero solo cargué saldo.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-037,MSG-128,AGENT-02,Colombia,CO,OUTBOUND,"""Necesitamos que acredites el origen de esos 5000 USD por favor.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-037,MSG-129,USR-662,Colombia,CO,INBOUND,"""Es de la venta de mi auto, les mando la escritura de compraventa.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-037,MSG-130,USR-662,Colombia,CO,INBOUND,"""Necesito pagar la universidad de mi hija mañana. ¡Desbloqueen!""",es,-0.7,negative,frustration,"kyc_onboarding, transfers",0.9,other,True,p2,,p2,,,,0.7525,1.0,0.9,gemini-2.5-flash-lite,3272,268,7923,0.0004344,2026-05-01 14:16:37,ok
CASE-038,MSG-131,USR-774,Ecuador,EC,INBOUND,"""Quiero ser partner. Tengo una tienda de celulares en Ecuador.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-038,MSG-132,AGENT-05,Ecuador,EC,OUTBOUND,"""Hola, por ahora no tenemos red de corresponsales físicos allá.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-038,MSG-133,USR-774,Ecuador,EC,INBOUND,"""¿Y para cuándo tienen pensado abrir esa opción para negocios?""",es,0.1,neutral,neutral,other,0.0,,False,p4,,p4,,,,0.0,0.0,0.9,gemini-2.5-flash-lite,3241,184,23023,0.0003977,2026-05-01 14:16:58,ok
CASE-039,MSG-134,USR-111,Chile,CL,INBOUND,"""Mi transferencia fue rechazada pero el dinero no volvió a mi banco.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-039,MSG-135,AGENT-01,Chile,CL,OUTBOUND,"""A veces el banco emisor demora 72h hábiles en reflejar el retorno.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-039,MSG-136,USR-111,Chile,CL,INBOUND,"""Ya pasaron 5 días. Mi banco dice que ustedes tienen los fondos.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-039,MSG-137,USR-111,Chile,CL,INBOUND,"""Les mando el código de rastreo bancario para que lo busquen.""",es,-0.7,negative,frustration,"support_quality, transfers",0.8,consumer_protection,True,p2,,p2,,,,0.7225,1.0,0.9,gemini-2.5-flash-lite,3273,282,6277,0.0004401,2026-05-01 14:16:43,ok
CASE-040,MSG-138,USR-229,Perú,PE,INBOUND,"""Quiero denunciar a un ejecutivo que me atendió súper mal ayer.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-040,MSG-139,AGENT-04,Perú,PE,OUTBOUND,"""Lo sentimos mucho. ¿Recuerdas el nombre o tienes el ID del chat?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-040,MSG-140,USR-229,Perú,PE,INBOUND,"""Fue un tal 'Ricardo'. Me cortó la llamada mientras yo explicaba.""",es,-0.8,very_negative,anger,support_quality,0.7,consumer_protection,True,p3,,p3,,,,0.6475,0.9712,0.9,gemini-2.5-flash-lite,3251,234,7765,0.0004187,2026-05-01 14:16:57,ok
CASE-041,MSG-141,USR-558,Brasil,BR,INBOUND,"""O cartão não passou no pedágio aqui no Brasil. Tinha saldo em Real.""",pt,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-041,MSG-142,AGENT-05,Brasil,BR,OUTBOUND,"""Olá, alguns pedágios aceitam apenas cartões de débito locais.""",pt,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-041,MSG-143,USR-558,Brasil,BR,INBOUND,"""Mas o cartão de vocês não é débito internacional? Deveria passar.""",pt,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-041,MSG-144,USR-558,Brasil,BR,INBOUND,"""Fiquei parado 10 minutos atrapalhando o trânsito por culpa disso.""",pt,-0.6,negative,frustration,"cards, transfers",0.5,consumer_protection,True,p3,,p3,,,,0.55,0.825,0.9,gemini-2.5-flash-lite,3278,278,5460,0.000439,2026-05-01 14:17:02,ok
CASE-042,MSG-145,USR-889,México,MX,INBOUND,"""Me llegó una notificación de retiro en cajero que yo no hice.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-042,MSG-146,AGENT-01,México,MX,OUTBOUND,"""Bloquea la tarjeta ahora. ¿Tienes la tarjeta física contigo?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-042,MSG-147,USR-889,México,MX,INBOUND,"""Sí, la tengo en mi billetera. Me la clonaron entonces.""",es,-0.8,very_negative,fear,fraud_security,1.0,"fraud_suspected, unauthorized_charge",True,p1,,p1,,,,0.8,1.0,0.95,gemini-2.5-flash-lite,3247,227,6506,0.0004155,2026-05-01 14:17:05,ok
CASE-043,MSG-148,USR-330,Chile,CL,INBOUND,"""¿Puedo recibir pagos de Amazon directamente en mi cuenta Global?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-043,MSG-149,AGENT-03,Chile,CL,OUTBOUND,"""Sí, usando los datos de tu billetera en USD. Son datos de cuenta USA.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-043,MSG-150,USR-330,Chile,CL,INBOUND,"""Genial. ¿Y cobran comisión por recibir esos depósitos?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-043,MSG-151,USR-330,Chile,CL,INBOUND,"""Pregunto porque mi banco actual me quita 25 dólares por cada pago.""",es,-0.5,negative,confusion,fees_pricing,0.3,consumer_protection,True,p3,,p3,,,,0.475,0.7125,0.9,gemini-2.5-flash-lite,3270,242,5251,0.0004238,2026-05-01 14:17:07,ok
CASE-044,MSG-152,USR-116,Chile,CL,INBOUND,"""Mi selfie de validación dice que mi RUT está vencido. Pero es nuevo.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-044,MSG-153,AGENT-01,Chile,CL,OUTBOUND,"""Envíanos una foto del documento por ambos lados para revisarlo.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-044,MSG-154,USR-116,Chile,CL,INBOUND,"""Aquí va. Se nota claramente que vence en el 2029. Revisen su bot.""",es,-0.7,negative,frustration,kyc_onboarding,0.8,,True,p3,,p3,,,,0.42,0.63,0.9,gemini-2.5-flash-lite,3256,198,6912,0.0004048,2026-05-01 14:17:12,ok
CASE-045,MSG-155,USR-770,Chile,CL,INBOUND,"""Intenté enviar plata a Venezuela y me sale 'Servicio no disponible'.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-045,MSG-156,AGENT-02,Chile,CL,OUTBOUND,"""Estamos en mantenimiento técnico para esa ruta. Prueba en 4 horas.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-045,MSG-157,USR-770,Chile,CL,INBOUND,"""Llevo intentando desde la mañana. Mi familia cuenta con ese dinero.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-045,MSG-158,USR-770,Chile,CL,INBOUND,"""Sean serios y avisen por redes sociales cuando se caiga el sistema.""",es,-0.8,very_negative,frustration,"support_quality, transfers",0.8,consumer_protection,True,p2,,p2,,,,0.74,1.0,0.9,gemini-2.5-flash-lite,3270,263,4341,0.0004322,2026-05-01 14:17:12,ok
CASE-046,MSG-159,USR-202,Colombia,CO,INBOUND,"""Quiero cambiar mi número de teléfono. El viejo ya no existe.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-046,MSG-160,AGENT-03,Colombia,CO,OUTBOUND,"""Por seguridad, debemos hacer una validación por video llamada.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-046,MSG-161,USR-202,Colombia,CO,INBOUND,"""Ok, ¿a qué hora me pueden llamar? Estoy disponible ahora.""",es,0.5,neutral,neutral,account_management,0.2,,False,p4,,p4,,,,0.0625,0.0938,0.9,gemini-2.5-flash-lite,3243,155,12891,0.0003863,2026-05-01 14:17:25,ok
CASE-047,MSG-162,USR-309,Perú,PE,INBOUND,"""El repartidor de la tarjeta me cobró por la entrega. Dijo que era propina obligatoria.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-047,MSG-163,AGENT-01,Perú,PE,OUTBOUND,"""Eso no está permitido. El envío es totalmente gratuito.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-047,MSG-164,USR-309,Perú,PE,INBOUND,"""Me sentí presionado y le di 10 soles. Quiero poner una queja formal.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-047,MSG-165,USR-309,Perú,PE,INBOUND,"""Tengo el nombre del motorizado y su número de placa.""",es,-0.8,very_negative,anger,"cards, support_quality",0.8,"consumer_protection, unauthorized_charge",True,p2,,p2,,,,0.7275,1.0,0.9,gemini-2.5-flash-lite,3274,344,9469,0.000465,2026-05-01 14:17:23,ok
CASE-048,MSG-166,USR-551,USA,US,INBOUND,"""Why is the exchange rate higher than what I see on Google?""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-048,MSG-167,AGENT-04,USA,US,OUTBOUND,"""Google shows the mid-market rate. We use a real-time commercial rate.""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-048,MSG-168,USR-551,USA,US,INBOUND,"""That's a bit confusing. Your ads say 'No hidden fees'.""",en,-0.5,negative,confusion,"fees_pricing, support_quality",0.4,consumer_protection,True,p3,,p3,,,,0.5025,0.7537,0.855,gemini-2.5-flash-lite,3249,226,3156,0.0004153,2026-05-01 14:17:27,ok
CASE-049,MSG-169,USR-880,Chile,CL,INBOUND,"""Amo la tarjeta física, pero el chip se rayó muy rápido. No lee.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-049,MSG-170,AGENT-02,Chile,CL,OUTBOUND,"""Puede pasar por el roce. ¿Deseas pedir una reposición?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-049,MSG-171,USR-880,Chile,CL,INBOUND,"""Sí, pero no quiero pagar de nuevo. Solo tiene 2 semanas de uso.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-049,MSG-172,USR-880,Chile,CL,INBOUND,"""Es un defecto de fábrica claramente. La cuido mucho en mi billetera.""",es,-0.8,very_negative,frustration,"cards, fees_pricing",0.8,consumer_protection,True,p3,,p3,,,,0.6775,1.0,0.95,gemini-2.5-flash-lite,3274,274,6126,0.000437,2026-05-01 14:17:43,ok
CASE-050,MSG-173,USR-404,México,MX,INBOUND,"""Me bloquearon la cuenta después de recibir una transferencia de un amigo.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-050,MSG-174,AGENT-01,México,MX,OUTBOUND,"""Estamos verificando el origen de esos fondos por seguridad.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-050,MSG-175,USR-404,México,MX,INBOUND,"""Es solo un préstamo personal. ¿Qué documentos necesitan?""",es,-0.5,negative,frustration,"account_management, kyc_onboarding",0.8,aml_suspected,True,p2,,p2,,,,0.6875,1.0,0.9,gemini-2.5-flash-lite,3240,265,11052,0.00043,2026-05-01 14:17:39,ok
CASE-051,MSG-176,USR-102,Chile,CL,INBOUND,"""Mi transferencia a España dice 'Completada' pero el beneficiario no tiene nada.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-051,MSG-177,AGENT-04,Chile,CL,OUTBOUND,"""Hola, el banco destino puede demorar hasta 48h hábiles en procesar.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-051,MSG-178,USR-102,Chile,CL,INBOUND,"""Ya pasaron 72h. Es para el pago de un arriendo urgente.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-051,MSG-179,USR-102,Chile,CL,INBOUND,"""Mandé el comprobante al banco y dicen que el código Swift es erróneo.""",es,-0.8,very_negative,frustration,transfers,0.9,consumer_protection,True,p2,,p2,,,,0.77,1.0,0.95,gemini-2.5-flash-lite,3282,361,12412,0.0004726,2026-05-01 14:17:51,ok
CASE-052,MSG-180,USR-601,Perú,PE,INBOUND,"""Quiero denunciar que me cobraron una comisión de 'Inactividad'.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-052,MSG-181,AGENT-02,Perú,PE,OUTBOUND,"""Hola, se aplica si no hay movimientos en 6 meses. Está en los términos.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-052,MSG-182,USR-601,Perú,PE,INBOUND,"""Nadie lee los términos de 50 páginas. Devuélvanmelo, es mi dinero.""",es,-0.8,very_negative,anger,fees_pricing,0.3,consumer_protection,True,p3,,p3,,,,0.5775,0.8662,0.9,gemini-2.5-flash-lite,3259,189,5819,0.0004015,2026-05-01 14:17:48,ok
CASE-053,MSG-183,USR-882,Colombia,CO,INBOUND,"""La tarjeta de madera se me astilló en el cajero automático.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-053,MSG-184,AGENT-01,Colombia,CO,OUTBOUND,"""Lamentamos mucho. ¿El cajero se quedó con la tarjeta o la tienes?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-053,MSG-185,USR-882,Colombia,CO,INBOUND,"""La tengo, pero el chip se soltó. Es un peligro que se rompa así.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-053,MSG-186,USR-882,Colombia,CO,INBOUND,"""Exijo una reposición gratuita, el material no es tan resistente como dicen.""",es,-0.8,very_negative,anger,cards,0.7,consumer_protection,True,p2,,p2,,,,0.745,1.0,0.9,gemini-2.5-flash-lite,3277,251,11587,0.0004281,2026-05-01 14:18:00,ok
CASE-054,MSG-187,USR-312,Chile,CL,INBOUND,"""Quiero pasar mis ahorros de CLP a USD, ¿la tasa se mantiene si espero?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-054,MSG-188,AGENT-03,Chile,CL,OUTBOUND,"""No, la tasa fluctúa cada segundo según el mercado internacional.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-054,MSG-189,USR-312,Chile,CL,INBOUND,"""Pero en la mañana estaba a 940 y ahora a 960. ¡Es mucha diferencia!""",es,-0.5,negative,frustration,fx_currency,0.5,,False,p3,,p3,,,,0.24,0.36,0.9,gemini-2.5-flash-lite,3258,242,21674,0.0004226,2026-05-01 14:18:13,ok
CASE-055,MSG-190,USR-904,México,MX,INBOUND,"""Me hackearon el WhatsApp y le pidieron plata a mis contactos usando mi cuenta.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-055,MSG-191,AGENT-01,México,MX,OUTBOUND,"""¿Alguien alcanzó a depositar en tu cuenta de Global66?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-055,MSG-192,USR-904,México,MX,INBOUND,"""Sí, un primo depositó 5000 pesos. Necesito que se los devuelvan a él.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-055,MSG-193,USR-904,México,MX,INBOUND,"""Tengo la denuncia policial lista. Por favor ayúdenme a recuperar su plata.""",es,-0.9,very_negative,anger,"fraud_security, transfers",1.0,"fraud_suspected, unauthorized_charge",True,p1,,p1,,,,0.97,1.0,0.95,gemini-2.5-flash-lite,3283,320,3024,0.0004563,2026-05-01 14:18:03,ok
CASE-056,MSG-194,USR-129,Brasil,BR,INBOUND,"""A interface em português é muito lenta no meu Android.""",pt,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-056,MSG-195,AGENT-05,Brasil,BR,OUTBOUND,"""Olá, você pode tentar limpar o cache e desativar o modo economia de bateria?""",pt,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-056,MSG-196,USR-129,Brasil,BR,INBOUND,"""Já fiz isso. Demora 1 minuto só para carregar o saldo.""",pt,-0.6,negative,frustration,app_stability,0.6,,True,p3,,p3,,,,0.2825,0.4237,0.9,gemini-2.5-flash-lite,3250,206,8783,0.0004074,2026-05-01 14:18:12,ok
CASE-057,MSG-197,USR-443,Chile,CL,INBOUND,"""Hola, ¿puedo usar Global66 para recibir mi pensión de jubilación de Italia?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-057,MSG-198,AGENT-02,Chile,CL,OUTBOUND,"""Sí, siempre que te depositen vía transferencia SEPA en euros.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-057,MSG-199,USR-443,Chile,CL,INBOUND,"""¡Excelente! ¿Y qué datos les doy a los de la seguridad social italiana?""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-057,MSG-200,USR-443,Chile,CL,INBOUND,"""Necesito el IBAN y el nombre del banco corresponsal de ustedes.""",es,0.5,neutral,neutral,,0.0,,False,p4,,p4,,,,0.0025,0.0038,0.9,gemini-2.5-flash-lite,3276,171,9948,0.000396,2026-05-01 14:18:22,ok
CASE-058,MSG-201,USR-508,Francia,FR,INBOUND,"""URGENTE: Mi tarjeta no pasa en el hotel en París y son las 11 PM.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-058,MSG-202,AGENT-03,Francia,FR,OUTBOUND,"""Revisa si tienes activado el permiso para transacciones en Europa.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-058,MSG-203,USR-508,Francia,FR,INBOUND,"""Lo tengo activado. Tengo 2000 euros en la billetera y sale rechazada.""",es,-0.8,very_negative,frustration,cards,1.0,consumer_protection,True,p2,,p2,,,,0.905,1.0,0.95,gemini-2.5-flash-lite,3260,276,3487,0.0004364,2026-05-01 14:18:17,ok
CASE-059,MSG-204,USR-709,Perú,PE,INBOUND,"""Me cobraron una comisión por retiro en cajero y decían que era gratis.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-059,MSG-205,AGENT-01,Perú,PE,OUTBOUND,"""El primer retiro del mes es gratis, a partir del segundo cobramos.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-059,MSG-206,USR-709,Perú,PE,INBOUND,"""Este es mi primer retiro. Me sacaron 3 dólares de la cuenta.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-059,MSG-207,USR-709,Perú,PE,INBOUND,"""Fue en un cajero GlobalNet. Exijo el reembolso de la comisión.""",es,-0.7,negative,anger,"fees_pricing, transfers",0.6,consumer_protection,True,p3,,p3,,,,0.6025,0.9038,0.9,gemini-2.5-flash-lite,3273,253,6729,0.0004285,2026-05-01 14:18:24,ok
CASE-060,MSG-208,USR-117,Chile,CL,INBOUND,"""Solicito un certificado de residencia fiscal para mi trámite en la app.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-060,MSG-209,AGENT-04,Chile,CL,OUTBOUND,"""Global66 no emite certificados de residencia, solo estados de cuenta.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-060,MSG-210,USR-117,Chile,CL,INBOUND,"""¿Entonces cómo demuestro al SII que opero con ustedes fuera de Chile?""",es,-0.5,negative,confusion,account_management,0.3,,True,p3,,p3,,,,0.17,0.255,0.9,gemini-2.5-flash-lite,3250,199,11616,0.0004046,2026-05-01 14:18:33,ok
CASE-061,MSG-211,USR-230,Argentina,AR,INBOUND,"""Intenté comprar cripto y me sale que mi cuenta no está habilitada.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-061,MSG-212,AGENT-01,Argentina,AR,OUTBOUND,"""Por regulaciones vigentes en Argentina, el servicio de cripto está pausado.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-061,MSG-213,USR-230,Argentina,AR,INBOUND,"""Qué mal, avisen antes de dejarme cargar saldo. Quiero mi plata de vuelta.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-061,MSG-214,USR-230,Argentina,AR,INBOUND,"""Perdí plata en la conversión de pesos a dólares para nada.""",es,-0.7,very_negative,anger,"account_management, fx_currency, support_quality",0.8,consumer_protection,True,p3,,p3,,,,0.725,1.0,0.9,gemini-2.5-flash-lite,3273,263,10551,0.0004325,2026-05-01 14:18:59,ok
CASE-062,MSG-215,USR-802,México,MX,INBOUND,"""Mi abuela no puede validar su cuenta porque no sabe usar el teléfono.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-062,MSG-216,AGENT-03,México,MX,OUTBOUND,"""Podemos agendar una videollamada para asistirla personalmente.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-062,MSG-217,USR-802,México,MX,INBOUND,"""Estaría genial. Ella está conmigo ahora, ¿podemos hacerlo ya?""",es,0.6,positive,satisfaction,kyc_onboarding,0.4,,True,p3,,p3,,,,0.195,0.2925,0.9,gemini-2.5-flash-lite,3247,191,13064,0.0004011,2026-05-01 14:19:04,ok
CASE-063,MSG-218,USR-415,Chile,CL,INBOUND,"""Me llegó una notificación de 'Cambio de clave' y yo no hice nada.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-063,MSG-219,AGENT-01,Chile,CL,OUTBOUND,"""Estamos bloqueando tu cuenta por sospecha de fraude. No compartas códigos.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-063,MSG-220,USR-415,Chile,CL,INBOUND,"""No he compartido nada. Por favor que no me saquen la plata.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-063,MSG-221,USR-415,Chile,CL,INBOUND,"""Me acaba de llegar un SMS con un código de retiro. ¡Hagan algo!""",es,-0.9,very_negative,fear,fraud_security,1.0,"fraud_suspected, unauthorized_charge",True,p1,,p1,,,,0.92,1.0,0.95,gemini-2.5-flash-lite,3274,292,2822,0.0004442,2026-05-01 14:19:02,ok
CASE-064,MSG-222,USR-510,Colombia,CO,INBOUND,"""Mi transferencia a EE.UU. fue rechazada por el banco Intermediario.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-064,MSG-223,AGENT-02,Colombia,CO,OUTBOUND,"""Eso sucede si el banco destino tiene restricciones de compliance.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-064,MSG-224,USR-510,Colombia,CO,INBOUND,"""¿Y qué pasa con mis 30 dólares de comisión? ¿Se pierden?""",es,-0.7,negative,frustration,"fees_pricing, transfers",0.6,consumer_protection,True,p3,,p3,,,,0.5975,0.8962,0.9,gemini-2.5-flash-lite,3250,251,13583,0.0004254,2026-05-01 14:19:16,ok
CASE-065,MSG-225,USR-669,USA,US,INBOUND,"""The exchange rate for BRL to USD is wrong in the calculator.""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-065,MSG-226,AGENT-03,USA,US,OUTBOUND,"""Our rates include a small spread for operational costs.""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-065,MSG-227,USR-669,USA,US,INBOUND,"""It is more than 5%. That is not 'low cost' like you advertise.""",en,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-065,MSG-228,USR-669,USA,US,INBOUND,"""I will use another app if you don't match the market rate.""",en,-0.7,negative,frustration,"fees_pricing, fx_currency",0.7,consumer_protection,True,p3,,p3,,,,0.6275,0.9412,0.9,gemini-2.5-flash-lite,3266,282,6285,0.0004394,2026-05-01 14:19:11,ok
CASE-066,MSG-229,USR-215,Perú,PE,INBOUND,"""Quiero que me expliquen por qué mi cuenta está en 'Análisis' hace una semana.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-066,MSG-230,AGENT-04,Perú,PE,OUTBOUND,"""Es un proceso estándar de verificación de documentos de identidad.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-066,MSG-231,USR-215,Perú,PE,INBOUND,"""Una semana no es estándar. Tengo mis ahorros atrapados ahí.""",es,-0.7,negative,frustration,"account_management, kyc_onboarding",0.8,other,True,p2,,p2,,,,0.7225,1.0,0.95,gemini-2.5-flash-lite,3248,216,9791,0.0004112,2026-05-01 14:19:20,ok
CASE-067,MSG-232,USR-335,Chile,CL,INBOUND,"""Mi envío de CLP a COP dice que el banco receptor rechazó el nombre.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
CASE-067,MSG-233,AGENT-01,Chile,CL,OUTBOUND,"""Asegúrate de que el nombre coincida exactamente con la cédula.""",es,,,,,0.0,,,,,,,,,,,,,,,,0,,not_analyzed
